Code	Description	PCT_ONTIME_DEP
FAR	Fargo, ND: Hector International	83.04
FAT	Fresno, CA: Fresno Yosemite International	81.91
FAY	Fayetteville, NC: Fayetteville Regional/Grannis Field	84.76
FCA	Kalispell, MT: Glacier Park International	83.13
FLG	Flagstaff, AZ: Flagstaff Pulliam	85.26
FLL	Fort Lauderdale, FL: Fort Lauderdale-Hollywood International	71.58
FNT	Flint, MI: Bishop International	80.52
FOD	Fort Dodge, IA: Fort Dodge Regional	75.44
FSD	Sioux Falls, SD: Joe Foss Field	81.73
FSM	Fort Smith, AR: Fort Smith Regional	78.50
FWA	Fort Wayne, IN: Fort Wayne International	76.49
GCC	Gillette, WY: Northeast Wyoming Regional	87.61
GCK	Garden City, KS: Garden City Regional	79.67
GEG	Spokane, WA: Spokane International	85.80
GFK	Grand Forks, ND: Grand Forks International	86.13
GGG	Longview, TX: East Texas Regional	79.79
GJT	Grand Junction, CO: Grand Junction Regional	84.00
GNV	Gainesville, FL: Gainesville Regional	82.83
GPT	Gulfport/Biloxi, MS: Gulfport-Biloxi International	83.73
GRB	Green Bay, WI: Green Bay Austin Straubel International	82.41
GRI	Grand Island, NE: Central Nebraska Regional	78.50
GRK	Killeen, TX: Robert Gray AAF	76.89
GRR	Grand Rapids, MI: Gerald R. Ford International	81.71
GSO	Greensboro/High Point, NC: Piedmont Triad International	84.59
GSP	Greer, SC: Greenville-Spartanburg International	83.55
GST	Gustavus, AK: Gustavus Airport	81.11
GTF	Great Falls, MT: Great Falls International	89.30
GTR	Columbus, MS: Golden Triangle Regional	90.90
GUC	Gunnison, CO: Gunnison-Crested Butte Regional	84.15
GUM	Guam, TT: Guam International	90.60
HDN	Hayden, CO: Yampa Valley	78.22
HGR	Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field	62.04
HHH	Hilton Head, SC: Hilton Head Airport	76.74
HIB	Hibbing, MN: Range Regional	87.83
HLN	Helena, MT: Helena Regional	88.30
HNL	Honolulu, HI: Daniel K Inouye International	85.39
HOB	Hobbs, NM: Lea County Regional	76.18
HOU	Houston, TX: William P Hobby	75.13
HPN	White Plains, NY: Westchester County	80.43
HRL	Harlingen/San Benito, TX: Valley International	82.85
HSV	Huntsville, AL: Huntsville International-Carl T Jones Field	79.05
HTS	Ashland, WV: Tri-State/Milton J. Ferguson Field	55.89
HYA	Hyannis, MA: Cape Cod Gateway	73.23
HYS	Hays, KS: Hays Regional	85.74
IAD	Washington, DC: Washington Dulles International	83.12
IAG	Niagara Falls, NY: Niagara Falls International	65.53
IAH	Houston, TX: George Bush Intercontinental/Houston	74.02
ICT	Wichita, KS: Wichita Dwight D Eisenhower National	82.51
IDA	Idaho Falls, ID: Idaho Falls Regional	85.62
ILM	Wilmington, NC: Wilmington International	81.89
IMT	Iron Mountain/Kingsfd, MI: Ford	84.88
IND	Indianapolis, IN: Indianapolis International	82.55
INL	International Falls, MN: Falls International Einarson Field	84.31
ISP	Islip, NY: Long Island MacArthur	76.04
ITH	Ithaca/Cortland, NY: Ithaca Tompkins International	85.75
ITO	Hilo, HI: Hilo International	88.63
JAC	Jackson, WY: Jackson Hole	78.25
JAN	Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International	81.37
JAX	Jacksonville, FL: Jacksonville International	79.98
JFK	New York, NY: John F. Kennedy International	78.60
JLN	Joplin, MO: Joplin Regional	81.71
JMS	Jamestown, ND: Jamestown Regional	81.90
JNU	Juneau, AK: Juneau International	84.40
JST	Johnstown, PA: John Murtha Johnstown-Cambria County	79.82
KOA	Kona, HI: Ellison Onizuka Kona International at Keahole	87.73
KTN	Ketchikan, AK: Ketchikan International	82.73
LAN	Lansing, MI: Capital Region International	76.74
LAR	Laramie, WY: Laramie Regional	82.40
LAS	Las Vegas, NV: Harry Reid International	75.42
LAW	Lawton/Fort Sill, OK: Lawton-Fort Sill Regional	81.91
LAX	Los Angeles, CA: Los Angeles International	81.26
LBB	Lubbock, TX: Lubbock Preston Smith International	82.58
LBE	Latrobe, PA: Arnold Palmer Regional	81.65
LBF	North Platte, NE: North Platte Regional Airport Lee Bird Field	86.26
LBL	Liberal, KS: Liberal Mid-America Regional	78.95
LCH	Lake Charles, LA: Lake Charles Regional	79.70
LCK	Columbus, OH: Rickenbacker International	74.61
LEX	Lexington, KY: Blue Grass	81.53
LFT	Lafayette, LA: Lafayette Regional Paul Fournet Field	79.57
LGA	New York, NY: LaGuardia	80.30
LGB	Long Beach, CA: Long Beach Airport	83.37
LIH	Lihue, HI: Lihue Airport	87.81
LIT	Little Rock, AR: Bill and Hillary Clinton Nat Adams Field	79.97
LNK	Lincoln, NE: Lincoln Airport	81.83
LRD	Laredo, TX: Laredo International	80.12
LSE	La Crosse, WI: La Crosse Regional	83.90
LWS	Lewiston, ID: Lewiston Nez Perce County	88.45
